id;centro_costo;figura;variedad;especie
3;B003;VACA;CU22007;CUCUMBER
4;B004;CHANCHO;CU16019;CUCUMBER
5;B005;SERRUCHO;CU389;CUCUMBER
6;B006;PELOTA;VCU513;CUCUMBER
7;B007;PARAGUA;VCU577;CUCUMBER
8;B008;PIÑA;VCU512;CUCUMBER
9;B009;DOLAR;VCU011G;CUCUMBER
10;B010;LLANTA;VCU520;CUCUMBER
11;B011;LLAVES;SQ605;SQUASH
12;B012;CARTERA;VSQ585;PUMPKIN
13;B013;PLATANO;VSQ538;PUMPKIN
14;B014;TORTUGA;CU444;CUCUMBER
15;B015;TORTUGA;CU444;CUCUMBER
16;B016;TELEFONO;VWM508;WATERMELON
17;B017;ARCOIRIS;KK102;CUCUMBER
18;B018;TELETON;KK219;CUCUMBER
19;B019;MACCHU PICHU;KK170;CUCUMBER
20;B020;QUENA;CU408;CUCUMBER
21;B021;CUBIERTO;CL334;CUCUMBER
22;B022;BUDA;KK018;CUCUMBER
23;B023;ISLA;CL407;CUCUMBER
24;B024;PERA;CU309;CUCUMBER
25;B025;SIRENA;CU372;CUCUMBER
26;B026;ESCOBA;WMZD0025;WATERMELON
27;B027;PESCADO;VCU560;CUCUMBER
28;B028;TORTA;VCU561;CUCUMBER
29;B029;ELEFANTE;CL324;CUCUMBER
30;B030;GATO;WMW4143H;WATERMELON
31;B031;PATINES;WMW4142H;WATERMELON
32;B032;SOL;WMW4144H;WATERMELON
33;B033;CONEJO;COM.;WATERMELON
34;B034;KIA;1M005;MELON
35;B035;PIES;WMW3792H;WATERMELON
36;B036;CORAZÓN;WMW3838H;WATERMELON
37;B037;MONTACARGA;MEM7262H;MELON
38;B038;CLAVE MUSICAL;MEM7263H;MELON
39;B039;PELOTA;1W549;WATERMELON
40;B040;VIRGEN DE GUADALUPE;ME712;MELON
41;B041;NÚMERO 77;ME157;MELON
42;B042;PERRO;101899-139232;CUCUMBER
43;B043;RATÓN;WM 898;WATERMELON
44;B044;NÚMERO 44;WM 886;WATERMELON
45;B045;NÚMERO 66;WM 899;WATERMELON
46;B046;NUMERO 88;WM 900;WATERMELON
47;B047;ARETES;VME749;MELON
48;B048;MANOS;WMZT0053;WATERMELON
49;B049;UVA;WMZT0947;WATERMELON
50;B050;ZANAHORIA;WMZD0924;WATERMELON
51;B051;CORREA;ME 24H;MELON
52;B052;LAURELES;ME 31H;MELON
53;B053;TELEFONO;P06M5;PEPPER MS
54;B054;LETRA A;5P718;PEPPER
55;B055;LAZO;TOF8792G;TOMATO GSPP
56;B056;NUMERO 11;TOF8932G;TOMATO GSPP
57;B057;FARAON;TOF7568G;TOMATO GSPP
58;B058;CORNETILLA;PF158;PEPPER
59;B059;OREJA;VPP911;PEPPER
60;B060;TORTUGA;PF-61;PEPPER
61;B061;TAZA;ZP00049xZP00050;PEPPER
62;B062;LETRA H;PA 07E;PEPPER MS
63;B063;GALLO;92LAFAYETTE-92LAFIA;PEPPER
64;B064;UNICEF;LEMONxTREE;TOMATO GSPP
65;B065;REGLA;RAZEMOD-MEXINXINQUI;TOMATO GSPP
66;B066;TREN;T-5181;TOMATO GSPP
67;B067;CAMA;T-5326;TOMATO GSPP
68;B068;FESTEJO;VPP860;PEPPER
69;B069;CARETAS;VPP541;PEPPER
70;B070;CHAVO;P296-ARMAP51;EGGPLANT
71;B071;NUMERAL;P296-ARMAP291;EGGPLANT
72;B072;LENTES;P484-ARMAP291;EGGPLANT
73;B073;CASINO;TOF8909G;TOMATO GSPP
74;B074;NIKE;P15M6;PEPPER MS
75;B075;ENANO;P8M23;PEPPER MS
76;B076;ENTEL;P12M7;PEPPER MS
77;B077;ENANO;P8M23;PEPPER MS
78;B078;SARTEN;FX;PEPPER
79;B079;BATIDOR;QX;PEPPER
80;B080;LEVIS;RE;PEPPER
81;B081;RODILLO;RY;PEPPER
82;B082;RALLADOR;TF;PEPPER
83;B083;MORTERO;TS;PEPPER
84;B084;ENANO;P8M23;PEPPER MS
85;B085;ARAÑA;P11M8;PEPPER MS
86;B086;COLGATE;ZP00057xZP00056;PEPPER
87;B087;PAVO;ZP00058xZP00059;PEPPER
88;B088;QUICO;P15M4;PEPPER MS
89;B089;BRASIL;P15M8;PEPPER MS
90;B090;UNICEF;CYP 222391;PEPPER
91;B091;LECHE GLORIA;CYP 222447;PEPPER
92;B092;TRIÁNGULO;RRP 222710;PEPPER
93;B093;TRIÁNGULO;RRP 222710;PEPPER
94;B094;MONEDERO;P12M9;PEPPER MS
95;B095;ARAÑA;P11M8;PEPPER MS
96;B096;IMPRESORA;VPP909;PEPPER
97;B097;PLUMA;TS 16S;TOMATO GSPP
98;B098;BATMAN;T-5209;TOMATO GSPP
99;B099;FAMILIA;T-5210;TOMATO GSPP
100;B100;HONGOS;T-5212;TOMATO GSPP
101;B101;BALLENA;T-5241;TOMATO GSPP
102;B102;PITUFINA;T-5242;TOMATO GSPP
103;B103;NÚMERO 66;P04M4;PEPPER MS
104;B104;PITUFINA;P00M9;PEPPER
105;B105;CIGARRO;P03M7;PEPPER MS
106;B106;ESCOBA;P06M5;PEPPER MS
107;B107;TOTTUS;P16M5;PEPPER
108;B108;TORRE;P17M0;PEPPER MS
109;B109;LETRA Z;P17M1;PEPPER MS
110;B110;AVIÓN;P17M3;PEPPER
111;B111;MARTILLO;P17M7;PEPPER MS
112;B112;TELEVISOR;P17M9;PEPPER
113;B113;TAMBOR;P18M1;PEPPER MS
